Incident ID,Reporter,Date of Occurance,Responsible Dirctorate,Region,District,Chiefdom,Community/Town/Village,Latitude,Longitude,Type of Incident,Cause of Incident,Dwelling Houses, Facility,School,Health Facility,Community Facility,Religious Center,Number of Facility,Shops/Business Center,Business Owners,Number of Households,Population Size,Response Status,Type of Response,Partners Intervention,Collaboration,Collaborating Partners,Date of Response,Male,Female,Boys,Girls,Persons with disability,Pregnant,Lactating Mothers,Death Cases,Injured cases,School Going Boys,School Going Girls
210802FRWU026,Open Source,02/08/2021,R & R,Western Area,Western Urban,N/A,Genet Lane Kingtom,8.432676,-13.276372,Fire,Unknown,13,None,0,0,0,0,0,0,0,41,148,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,17/08/2021,27,26,50,45,5,0,0,0,13,47,31
210809FRWU027,Volunteer,09/08/2021,R & R,Western Area,Western Urban,N/A,"Gento Drive,Hill Station",8.432676,-13.276372,Fire,Electrical Malfunction,3,None,0,0,0,0,0,0,0,3,15,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,29/09/2021,3,4,3,5,0,0,0,0,3,3,4
210818FRWU028,Open Source,18/08/2021,R & R,Western Area,Western Urban,N/A,Betham Lane/Mount Aureol,8.432676,-13.276372,Fire,Electrical Malfunction,3,None,0,0,0,0,0,0,0,17,58,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,30/09/2021,19,17,9,13,0,0,0,0,4,9,6
210822WSKR052,DSCOORD,22/08/2021,R & R,North West,Kerene,Tambakha Simibungie ,Samaya Village,8.87853,-12.698441,Windstorm,Wind,10,"School,Mosque,Community Center",1,0,1,1,3,0,0,14,45,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,09/10/2021,8,12,10,15,1,0,0,0,0,8,5
210822COWU001,Open Source,22/08/2021,R & R,Western Area,Western Urban,N/A,Owen Street off Mountain Cut,8.432676,-13.276372,Building Collapse,Rain,2,None,0,0,0,0,0,0,0,2,21,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,29/09/2021,6,8,3,4,0,1,0,0,7,3,4
210822WSKR053,DSCOORD,22/08/2021,R & R,North West,Kerene,Dibia Chiefdom,Makamie Village,8.87853,-12.698441,Windstorm,Wind,2,None,0,0,0,0,0,0,0,6,28,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,07/10/2021,7,6,8,7,1,2,3,0,2,8,6
210825FLPU004,DSCOORD,25/08/2021,R & R,South,Pujehun,Makpele,Gbaa Village,7.272644,-11.228923,Flooding,Rain,0,None,0,0,0,0,0,0,0,29,161,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,26/10/2021,46,51,33,31,4,1,10,0,4,31,21
210827FRWU029,Open Source,27/08/2021,R & R,Western Area,Western Urban,N/A,"Grandcess Street,Kroo Town Road",8.432676,-13.276372,Fire,Unknown,1,None,0,0,0,0,0,0,0,10,45,Yes,Cash Transfer,Yes,Government & Partners,CONCERN,27/10/2021,10,15,9,11,0,0,0,0,3,9,8
210830FRWU030,Volunteer,30/08/2021,R & R,Western Area,Western Urban,N/A,Culvert,8.432676,-13.276372,Fire,Electrical Malfunction,1,None,0,0,0,0,0,0,0,11,53,Yes,"Food,Non-Food Items & Shelter Kits",No,Government & Partners,Government Only,30/09/2021,9,15,12,17,0,0,1,0,4,12,16
210909WSMO054,Open Source,09/09/2021,R & R,South,Moyamba,Ribie,Molamina Village,8.03704,-12.09562,Windstorm,Wind,0,School,1,0,0,0,1,0,0,0,260,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,13/03/2022,0,0,145,115,0,0,0,0,0,145,115
